year,state,state_po,state_ic,office,candidate,party,candidatevotes,totalvotes
1976,Arizona,AZ,61,US Senate,Sam Steiger,republican,321236,741210
1976,Arizona,AZ,61,US Senate,Wm. Mathews Feighan,independent,1565,741210
1976,Arizona,AZ,61,US Senate,Dennis DeConcini,democrat,400334,741210
1976,Arizona,AZ,61,US Senate,Allan Norwitz,libertarian,7310,741210
1976,Arizona,AZ,61,US Senate,Bob Field,independent,10765,741210
1976,California,CA,71,US Senate,Jack McCoy,american independent,82739,7470586
1976,California,CA,71,US Senate,S. I. (Sam) Hayakawa,republican,3748973,7470586
1976,California,CA,71,US Senate,John V. Tunney,democrat,3502862,7470586
1976,California,CA,71,US Senate,Omari Musa,independent,31629,7470586
1976,California,CA,71,US Senate,David Wald,peace and freedom,104383,7470586
1976,Connecticut,CT,1,US Senate,"Lowell P. Weicker, Jr.",republican,785683,1361666
1976,Connecticut,CT,1,US Senate,scatter,,558,1361666
1976,Connecticut,CT,1,US Senate,Robert Barnabei,american independent,14407,1361666
1976,Connecticut,CT,1,US Senate,Gloria Schaffer,democrat,561018,1361666
1976,Delaware,DE,11,US Senate,Thomas C. Maloney,democrat,98042,224795
1976,Delaware,DE,11,US Senate,"William V. Roth, Jr.",republican,125454,224795
1976,Delaware,DE,11,US Senate,Donald G. Gies,american,646,224795
1976,Delaware,DE,11,US Senate,John A. Massimilla,prohibition,216,224795
1976,Delaware,DE,11,US Senate,Joseph F. McInerney,none,437,224795
1976,Florida,FL,43,US Senate,Lawton Chiles,democrat,1799518,2857534
1976,Florida,FL,43,US Senate,scatter,,130,2857534
1976,Florida,FL,43,US Senate,John Grady,republican,1057886,2857534
1976,Hawaii,HI,82,US Senate,Spark M. Matsunaga,democrat,162305,302092
1976,Hawaii,HI,82,US Senate,James D. Kimmel,independent,1433,302092
1976,Hawaii,HI,82,US Senate,William Quinn,republican,122724,302092
1976,Hawaii,HI,82,US Senate,Anthony N. Hodges,prohibition,14226,302092
1976,Hawaii,HI,82,US Senate,Rockne Johnson,libertarian,1404,302092
1976,Indiana,IN,22,US Senate,Richard G. Lugar,republican,1275833,2161187
1976,Indiana,IN,22,US Senate,Vance Hartke,democrat,868522,2161187
1976,Indiana,IN,22,US Senate,Don L. Lee,independent,14321,2161187
1976,Indiana,IN,22,US Senate,David Lee Hoagland,u.s. labor,2511,2161187
1976,Maine,ME,2,US Senate,Robert A. G. Monks,republican,193489,486193
1976,Maine,ME,2,US Senate,Edmund S. Muskie,democrat,292704,486193
1976,Maryland,MD,52,US Senate,"J. Glenn Beall, Jr.",republican,530439,1365290
1976,Maryland,MD,52,US Senate,Paul S. Sarbanes,democrat,772101,1365290
1976,Maryland,MD,52,US Senate,Bruce Bradley,independent,62750,1365290
1976,Massachusetts,MA,3,US Senate,Carol Henderson Evans,socialist workers,26283,2491255
1976,Massachusetts,MA,3,US Senate,scatter,,157,2491255
1976,Massachusetts,MA,3,US Senate,Michael S. Robertson,republican,722641,2491255
1976,Massachusetts,MA,3,US Senate,H. Graham Lowry,u.s. labor,15517,2491255
1976,Massachusetts,MA,3,US Senate,Edward M. Kennedy,democrat,1726657,2491255
1976,Michigan,MI,23,US Senate,Bette Jane Erwin,libertarian,8842,3490412
1976,Michigan,MI,23,US Senate,Theodore G. Albert,human rights,7281,3490412
1976,Michigan,MI,23,US Senate,Marvin L. Esch,republican,1635087,3490412
1976,Michigan,MI,23,US Senate,"Donald W. Riegle, Jr.",democrat,1831031,3490412
1976,Michigan,MI,23,US Senate,Frank Girard,socialist labor,2554,3490412
1976,Michigan,MI,23,US Senate,Paula L. Reimers,socialist workers,3399,3490412
1976,Michigan,MI,23,US Senate,Peter A. Signorelli,u.s. labor,2218,3490412
1976,Minnesota,MN,33,US Senate,Robin E. Miller,libertarian,5476,1912020
1976,Minnesota,MN,33,US Senate,Bill Peterson,socialist workers,9380,1912020
1976,Minnesota,MN,33,US Senate,Matt Savola,communist,2214,1912020
1976,Minnesota,MN,33,US Senate,Jerry Brekke,republican,478602,1912020
1976,Minnesota,MN,33,US Senate,Paul Helm,american,125612,1912020
1976,Minnesota,MN,33,US Senate,Hubert H. Humphrey,democrat,1290736,1912020
1976,Mississippi,MS,46,US Senate,John C. Stennis,democrat,554433,554433
1976,Missouri,MO,34,US Senate,John C. Danforth,republican,1090067,1914460
1976,Missouri,MO,34,US Senate,Warren E. Hearnes,democrat,813571,1914460
1976,Missouri,MO,34,US Senate,Lawrene (Red) Petty,independent,10822,1914460
1976,Montana,MT,64,US Senate,Stanley C. Burger,republican,115213,321445
1976,Montana,MT,64,US Senate,John Melcher,democrat,206232,321445
1976,Nebraska,NE,35,US Senate,NA,NA,58,593310
1976,Nebraska,NE,35,US Senate,scatter,,163,593310
1976,Nebraska,NE,35,US Senate,John Y. McCollister,republican,279284,593310
1976,Nebraska,NE,35,US Senate,Edward Zorinsky,democrat,313805,593310
1976,Nevada,NV,65,US Senate,Byron D. Young,independent american,3619,201899
1976,Nevada,NV,65,US Senate,David Towell,republican,63471,201899
1976,Nevada,NV,65,US Senate,Other,,5288,201899
1976,Nevada,NV,65,US Senate,Dan Becan,libertarian,2307,201899
1976,Nevada,NV,65,US Senate,Howard W. Cannon,democrat,127214,201899
1976,New Jersey,NJ,12,US Senate,Leif Johnson,labor,6650,2771390
1976,New Jersey,NJ,12,US Senate,Hannibal Cundari,libertarian,19907,2771390
1976,New Jersey,NJ,12,US Senate,"Harrison A. Williams, Jr.",democrat,1681140,2771390
1976,New Jersey,NJ,12,US Senate,Bernardo S. Doganiero,socialist labor,9185,2771390
1976,New Jersey,NJ,12,US Senate,David F. Norcross,republican,1054508,2771390
1976,New Mexico,NM,66,US Senate,Ernesto B. Borunda,la raza unida,1087,413056
1976,New Mexico,NM,66,US Senate,Joseph M. Montoya,democrat,176382,413056
1976,New Mexico,NM,66,US Senate,"Malcolm ""Matt"" Dillon",american,906,413056
1976,New Mexico,NM,66,US Senate,"Harrison ""Jack"" Schmitt",republican,234681,413056
1976,New York,NY,13,US Senate,Marcia Gallo,socialist workers,16350,6666875
1976,New York,NY,13,US Senate,Daniel Patrick Moynihan,liberal,184083,6666875
1976,New York,NY,13,US Senate,James L. Buckley,conservative,311494,6666875
1976,New York,NY,13,US Senate,Elijah C. Boyd,labor,6716,6666875
1976,New York,NY,13,US Senate,Herbert Aptheker,communist,25141,6666875
1976,New York,NY,13,US Senate,Martin E. Nixon,libertarian,10943,6666875
1976,New York,NY,13,US Senate,Other,,348498,6666875
1976,New York,NY,13,US Senate,James L. Buckley,republican,2525139,6666875
1976,New York,NY,13,US Senate,Daniel Patrick Moynihan,democrat,3238511,6666875
1976,North Dakota,ND,36,US Senate,Robert Stroup,republican,103466,283062
1976,North Dakota,ND,36,US Senate,Quentin N. Burdick,democrat,175772,283062
1976,North Dakota,ND,36,US Senate,Clarence Haggard,american,3824,283062
1976,Ohio,OH,24,US Senate,Emma Lila Fundaburk,independent,33285,3920613
1976,Ohio,OH,24,US Senate,Howard M. Metzenbaum,democrat,1941113,3920613
1976,Ohio,OH,24,US Senate,"Robert Taft, Jr.",republican,1823774,3920613
1976,Ohio,OH,24,US Senate,Melisa Singler,socialist workers,31805,3920613
1976,Ohio,OH,24,US Senate,Donald E. Babcock,american,36979,3920613
1976,Ohio,OH,24,US Senate,John O'Neill,independent,53657,3920613
1976,Pennsylvania,PA,14,US Senate,H. John Heinz III,republican,2381891,4546353
1976,Pennsylvania,PA,14,US Senate,Frederick W. Stanton,socialist workers,5484,4546353
1976,Pennsylvania,PA,14,US Senate,Bernard Salera,labor,3637,4546353
1976,Pennsylvania,PA,14,US Senate,Frank Kinces,communist,2097,4546353
1976,Pennsylvania,PA,14,US Senate,Andrew J. Watson,constitution,26028,4546353
1976,Pennsylvania,PA,14,US Senate,William J. Green,democrat,2126977,4546353
1976,Pennsylvania,PA,14,US Senate,Other,,239,4546353
1976,Rhode Island,RI,5,US Senate,Richard P. Lorber,democrat,167665,398906
1976,Rhode Island,RI,5,US Senate,John H. Chafee,republican,230329,398906
1976,Rhode Island,RI,5,US Senate,Margaret R. Cann,communist,912,398906
1976,Tennessee,TN,54,US Senate,Mark Clark Bates,independent,5137,1432046
1976,Tennessee,TN,54,US Senate,Willie C. Jacox,independent,1406,1432046
1976,Tennessee,TN,54,US Senate,NA,NA,31,1432046
1976,Tennessee,TN,54,US Senate,James R. Sasser,democrat,751180,1432046
1976,Tennessee,TN,54,US Senate,Arnold Joseph Zandie,independent,1061,1432046
1976,Tennessee,TN,54,US Senate,Bill Brock,republican,673231,1432046
1976,Texas,TX,49,US Senate,Pedro Vasquez,socialist workers,20549,3874230
1976,Texas,TX,49,US Senate,Marjorie P. Gallion,american,17355,3874230
1976,Texas,TX,49,US Senate,Alan Steelman,republican,1636370,3874230
1976,Texas,TX,49,US Senate,Lloyd Bentsen,democrat,2199956,3874230
1976,Utah,UT,67,US Senate,Steve Trotter,libertarian,3026,522108
1976,Utah,UT,67,US Senate,George Merl Batchelor,american,4913,522108
1976,Utah,UT,67,US Senate,Orrin G. Hatch,republican,290221,522108
1976,Utah,UT,67,US Senate,Frank E. Moss,democrat,223948,522108
1976,Vermont,VT,6,US Senate,Robert T. Stafford,republican,94481,189060
1976,Vermont,VT,6,US Senate,scatter,,96,189060
1976,Vermont,VT,6,US Senate,Thomas P. Salmon,democrat,85682,189060
1976,Vermont,VT,6,US Senate,Nancy Kaufman,liberty union,8801,189060
1976,Virginia,VA,40,US Senate,NA,NA,154,1557500
1976,Virginia,VA,40,US Senate,Martin H. Perper,independent,70559,1557500
1976,Virginia,VA,40,US Senate,E. R. (Bud) Zumwalt,democrat,596009,1557500
1976,Virginia,VA,40,US Senate,"Harry F. Byrd, Jr.",independent,890778,1557500
1976,Washington,WA,73,US Senate,"William F. Wertz, Jr.",labor,3389,1491111
1976,Washington,WA,73,US Senate,Dave Smith,independent,28182,1491111
1976,Washington,WA,73,US Senate,Karl Bermann,socialist workers,7402,1491111
1976,Washington,WA,73,US Senate,Henry M. Jackson,democrat,1071219,1491111
1976,Washington,WA,73,US Senate,Richard K. Kenney,libertarian,19373,1491111
1976,Washington,WA,73,US Senate,George M. Brown,republican,361546,1491111
1976,West Virginia,WV,56,US Senate,Robert C. Byrd,democrat,566359,566359
1976,Wisconsin,WI,25,US Senate,Michael A. MacLaurin,u.s. labor,2148,1935183
1976,Wisconsin,WI,25,US Senate,William O. Hart,democratic socialist,7354,1935183
1976,Wisconsin,WI,25,US Senate,Robert E. Nordlander,socialist labor,1731,1935183
1976,Wisconsin,WI,25,US Senate,William Proxmire,democrat,1396970,1935183
1976,Wisconsin,WI,25,US Senate,Robert Schwarz,socialist workers,4876,1935183
1976,Wisconsin,WI,25,US Senate,scatter,,202,1935183
1976,Wisconsin,WI,25,US Senate,Stanley York,republican,521902,1935183
1976,Wyoming,WY,68,US Senate,Gale McGee,democrat,70558,155368
1976,Wyoming,WY,68,US Senate,Malcolm Wallop,republican,84810,155368
1978,Alabama,AL,41,US Senate,Jerome B. Couch,prohibition,34951,582005
1978,Alabama,AL,41,US Senate,James D. Martin,republican,316170,729842
1978,Alabama,AL,41,US Senate,Michael R. A. Erdey,libertarian,6006,729842
1978,Alabama,AL,41,US Senate,Donald Stewart,democrat,401852,729842
1978,Alabama,AL,41,US Senate,Howell Heflin,democrat,547054,582005
1978,Alabama,AL,41,US Senate,A. J. Killinsworth,prohibition,5814,729842
1978,Alaska,AK,81,US Senate,Donald Hobbs,democrat,29574,122741
1978,Alaska,AK,81,US Senate,NA,NA,384,122741
1978,Alaska,AK,81,US Senate,Ted Stevens,republican,92783,122741
1978,Arkansas,AR,42,US Senate,John Graham Black,independent,37211,517138
1978,Arkansas,AR,42,US Senate,NA,NA,113,517138
1978,Arkansas,AR,42,US Senate,David Pryor,democrat,395506,517138
1978,Arkansas,AR,42,US Senate,Tom Kelly,republican,84308,517138
1978,Colorado,CO,62,US Senate,John Shue ,national statesman,2518,819256
1978,Colorado,CO,62,US Senate,Vedder V. Dron,united states party,5789,819256
1978,Colorado,CO,62,US Senate,Floyd K. Haskell,democrat,330148,819256
1978,Colorado,CO,62,US Senate,William L. Armstrong,republican,480801,819256
1978,Delaware,DE,11,US Senate,Joseph R. Biden Jr.,democrat,93930,162072
1978,Delaware,DE,11,US Senate,Donald G. Gies,american,1663,162072
1978,Delaware,DE,11,US Senate,James H. Baxter Jr.,republican,66479,162072
1978,Georgia,GA,44,US Senate,John W. Stokes,republican,108808,645128
1978,Georgia,GA,44,US Senate,Sam Nunn,democrat,536320,645128
1978,Idaho,ID,63,US Senate,Dwight Jensen,democrat,89635,284047
1978,Idaho,ID,63,US Senate,James A. McClure,republican,194412,284047
1978,Illinois,IL,21,US Senate,Patricia Grogan,socialist workers,15922,3184764
1978,Illinois,IL,21,US Senate,Alex Smith,democrat,1448187,3184764
1978,Illinois,IL,21,US Senate,Bruce Lee Green,libertarian,16320,3184764
1978,Illinois,IL,21,US Senate,NA,NA,159,3184764
1978,Illinois,IL,21,US Senate,Charles H. Perey,republican,1698711,3184764
1978,Illinois,IL,21,US Senate,Gerald Rose,socialist labor,5465,3184764
1978,Iowa,IA,31,US Senate,Roger W. Jepsen,republican,421598,824576
1978,Iowa,IA,31,US Senate,Ben L. Olson,libertarian,3689,824576
1978,Iowa,IA,31,US Senate,Dick Clark,democrat,395066,824576
1978,Iowa,IA,31,US Senate,Gerald Leo Baker,independent,4223,824576
1978,Kansas,KS,32,US Senate,Nancy Landon Kassebaum,republican,403354,748839
1978,Kansas,KS,32,US Senate,James R. Maher,conservative,22497,748839
1978,Kansas,KS,32,US Senate,Russell Mikels,prohibition,5386,748839
1978,Kansas,KS,32,US Senate,Bill Roy,democrat,317602,748839
1978,Kentucky,KY,51,US Senate,NA,NA,43,476783
1978,Kentucky,KY,51,US Senate,Walter D. Huddleston,democrat,290730,476783
1978,Kentucky,KY,51,US Senate,Louie Guenthner Jr. ,republican,175766,476783
1978,Kentucky,KY,51,US Senate,Anthony Albert McCord,american,10244,476783
1978,Louisiana,LA,45,US Senate,J. Bennett Johnston Jr. ,democrat,1,1
1978,Maine,ME,2,US Senate,William D. Hathaway,democrat,127327,375114
1978,Maine,ME,2,US Senate,John J. Jannace,independent,5553,375114
1978,Maine,ME,2,US Senate,William S. Cohen,republican,212294,375114
1978,Maine,ME,2,US Senate,Hayes E. Gahagan,independent,27824,375114
1978,Maine,ME,2,US Senate,Plato Truman,independent,2116,375114
1978,Massachusetts,MA,3,US Senate,Other,,1833,1985700
1978,Massachusetts,MA,3,US Senate,Paul E. Tsongas,democrat,1093283,1985700
1978,Massachusetts,MA,3,US Senate,Edward W. Brooke,republican,890584,1985700
1978,Michigan,MI,23,US Senate,Carl Levin,democrat,1484193,2846630
1978,Michigan,MI,23,US Senate,Robert P. Griffin,republican,1362165,2846630
1978,Michigan,MI,23,US Senate,scatter,,272,2846630
1978,Minnesota,MN,33,US Senate,Bob Short,democrat,538675,1558376
1978,Minnesota,MN,33,US Senate,Paul Helm,american,45402,1558376
1978,Minnesota,MN,33,US Senate,Brian John Coyle,public interest independent,8083,1580622
1978,Minnesota,MN,33,US Senate,David Durenberger,republican,957908,1558376
1978,Minnesota,MN,33,US Senate,Jean T. Brust,workers,3891,1580622
1978,Minnesota,MN,33,US Senate,Wendell Anderson,democrat,638375,1580622
1978,Minnesota,MN,33,US Senate,Sal Carlone,american,23261,1580622
1978,Minnesota,MN,33,US Senate,Leonard Richards,libertarian,2992,1580622
1978,Minnesota,MN,33,US Senate,Frederick Hewitt,libertarian,4116,1558376
1978,Minnesota,MN,33,US Senate,William Peterson,socialist workers,9856,1580622
1978,Minnesota,MN,33,US Senate,NA,NA,878,1558376
1978,Minnesota,MN,33,US Senate,Christine Frank,socialist,11397,1558376
1978,Minnesota,MN,33,US Senate,NA,NA,72,1580622
1978,Minnesota,MN,33,US Senate,Rudolph E. Boschwitz,republican,894092,1580622
1978,Mississippi,MS,46,US Senate,Maurice Dantin,democrat,187541,590236
1978,Mississippi,MS,46,US Senate,James Charles Evers,independent,133646,590236
1978,Mississippi,MS,46,US Senate,Henry Jay Kirksey,independent,1747,590236
1978,Mississippi,MS,46,US Senate,Thad Cochran,republican,267302,590236
1978,Montana,MT,64,US Senate,Max Baucus,democrat,160353,287942
1978,Montana,MT,64,US Senate,Larry Williams,republican,127589,287942
1978,Nebraska,NE,35,US Senate,Donald Eugene Shasten,republican,159706,493802
1978,Nebraska,NE,35,US Senate,James J. Exon,democrat,334096,493802
1978,New Hampshire,NH,4,US Senate,Craig Franklin,libertarian,2070,263760
1978,New Hampshire,NH,4,US Senate,Gordon J. Humphrey,republican,133745,263760
1978,New Hampshire,NH,4,US Senate,Thomas J. McIntyre,democrat,127945,263760
1978,New Jersey,NJ,12,US Senate,Jack Moyers,independent,3809,1957515
1978,New Jersey,NJ,12,US Senate,Jeffrey Bell,republican,844200,1957515
1978,New Jersey,NJ,12,US Senate,Bill Bradley,democrat,1082960,1957515
1978,New Jersey,NJ,12,US Senate,Robert Brown,labor,3656,1957515
1978,New Jersey,NJ,12,US Senate,J. M. Carter Jr. ,independent,3618,1957515
1978,New Jersey,NJ,12,US Senate,Herbert Harry Shaw,independent,4736,1957515
1978,New Jersey,NJ,12,US Senate,William R. Thorn,independent,2776,1957515
1978,New Jersey,NJ,12,US Senate,Jasper C. Gould,independent,2955,1957515
1978,New Jersey,NJ,12,US Senate,Alice Conner,independent,2384,1957515
1978,New Jersey,NJ,12,US Senate,Paul Ferguson,independent,2604,1957515
1978,New Jersey,NJ,12,US Senate,Bill Gahres,independent,3817,1957515
1978,New Mexico,NM,66,US Senate,Toney Anaya,democrat,160045,343487
1978,New Mexico,NM,66,US Senate,Pete V. Domenici,republican,183442,343487
1978,North Carolina,NC,47,US Senate,Jesse Helms,republican,619151,1135814
1978,North Carolina,NC,47,US Senate,John Randolph Ingram,democrat,516663,1135814
1978,Oklahoma,OK,53,US Senate,Robert B. Kamm,republican,247857,754264
1978,Oklahoma,OK,53,US Senate,Glenn E. Hager,independent,3875,754264
1978,Oklahoma,OK,53,US Senate,Paul Edward Trent,independent,3015,754264
1978,Oklahoma,OK,53,US Senate,Richard King Carter,independent,2209,754264
1978,Oklahoma,OK,53,US Senate,David Lyle Boren,democrat,493953,754264
1978,Oklahoma,OK,53,US Senate,Riley Donica,independent,3355,754264
1978,Oregon,OR,72,US Senate,NA,NA,737,892518
1978,Oregon,OR,72,US Senate,Mark Hatfield,republican,550165,892518
1978,Oregon,OR,72,US Senate,Vern Cook,democrat,341616,892518
1978,Rhode Island,RI,5,US Senate,Claiborne Pell,democrat,229557,305618
1978,Rhode Island,RI,5,US Senate,James G. Reyonlds,republican,76061,305618
1978,South Carolina,SC,48,US Senate,Strom Thurmond,republican,351917,632063
1978,South Carolina,SC,48,US Senate,Charles D. Ravenel,democrat,280146,632063
1978,South Dakota,SD,37,US Senate,Don Barnett,democrat,84767,255599
1978,South Dakota,SD,37,US Senate,Larry Pressler,republican,170832,255599
1978,Tennessee,TN,54,US Senate,Howard H. Baker,republican,642644,1157094
1978,Tennessee,TN,54,US Senate,Thomas J. Anderson,independent,45908,1157094
1978,Tennessee,TN,54,US Senate,Jane Eskind,democrat,466228,1157094
1978,Tennessee,TN,54,US Senate,NA,NA,71,1157094
1978,Tennessee,TN,54,US Senate,Fern Lucius Keasler,independent,2243,1157094
1978,Texas,TX,49,US Senate,Miguel Pendas,socialist workers,4018,2312540
1978,Texas,TX,49,US Senate,Robert Krueger,democrat,1139149,2312540
1978,Texas,TX,49,US Senate,John G. Tower,republican,1151376,2312540
1978,Texas,TX,49,US Senate,Other,,128,2312540
1978,Texas,TX,49,US Senate,Luis A. Diaz de Loen,la raza unida,17869,2312540
1978,Virginia,VA,40,US Senate,Andrew P. Miller,democrat,608511,1222256
1978,Virginia,VA,40,US Senate,John William Warner,republican,613232,1222256
1978,Virginia,VA,40,US Senate,NA,NA,513,1222256
1978,West Virginia,WV,56,US Senate,Arch A. Moore Jr. ,republican,244317,493351
1978,West Virginia,WV,56,US Senate,Jennings Randolph,democrat,249034,493351
1978,Wyoming,WY,68,US Senate,Raymond B. Whitaker,democrat,82908,133364
1978,Wyoming,WY,68,US Senate,Alan Kooi Simpson,republican,50456,133364
1980,Alabama,AL,41,US Senate,Jim Folsom Jr.,democrat,610175,1296757
1980,Alabama,AL,41,US Senate,Jeremiah Denton,republican,650362,1296757
1980,Alabama,AL,41,US Senate,Sallie M. Hadnott,national democratic party of alabama,2973,1296757
1980,Alabama,AL,41,US Senate,William A. Crew,libertarian,13098,1296757
1980,Alabama,AL,41,US Senate,Michael R.A. Erdey,conservative,15989,1296757
1980,Alabama,AL,41,US Senate,Jim Partain,statesman,2649,1296757
1980,Alabama,AL,41,US Senate,Mohammed Oliver,socialist workers,1511,1296757
1980,Alaska,AK,81,US Senate,Clark S. Gruening,democrat,72007,156762
1980,Alaska,AK,81,US Senate,NA,NA,596,156762
1980,Alaska,AK,81,US Senate,Frank H. Murkowski,republican,84159,156762
1980,Arizona,AZ,61,US Senate,NA,NA,13,874238
1980,Arizona,AZ,61,US Senate,Josefina Otero,socialist workers,3266,874238
1980,Arizona,AZ,61,US Senate,Barry Goldwater,republican,432371,874238
1980,Arizona,AZ,61,US Senate,Fred R. Esser,libertarian,12008,874238
1980,Arizona,AZ,61,US Senate,Lorenzo Torrez,people before profits,3608,874238
1980,Arizona,AZ,61,US Senate,Bill Schulz,democrat,422972,874238
1980,Arkansas,AR,42,US Senate,NA,NA,331,808812
1980,Arkansas,AR,42,US Senate,Dale Bumpers,democrat,477905,808812
1980,Arkansas,AR,42,US Senate,Bill Clark,republican,330576,808812
1980,California,CA,71,US Senate,Paul Gann,republican,3091671,8324012
1980,California,CA,71,US Senate,James C. (Jim) Griffin,american independent,129573,8324012
1980,California,CA,71,US Senate,David Wald,peace and freedom,196260,8324012
1980,California,CA,71,US Senate,David Bergland,libertarian,202410,8324012
1980,California,CA,71,US Senate,Alan Cranston,democrat,4704098,8324012
1980,Colorado,CO,62,US Senate,Earl Higgerson,statesman,7265,1173142
1980,Colorado,CO,62,US Senate,Henry John Olshaw,unaffiliated-american,4081,1173142
1980,Colorado,CO,62,US Senate,Gary Hart,democrat,590501,1173142
1980,Colorado,CO,62,US Senate,Mary Estill Buchanan,republican,571295,1173142
1980,Connecticut,CT,1,US Senate,NA,NA,114,1356075
1980,Connecticut,CT,1,US Senate,Louis Zemel,citizens,4772,1356075
1980,Connecticut,CT,1,US Senate,Christopher J. Dodd,democrat,763969,1356075
1980,Connecticut,CT,1,US Senate,Gerard G. Brennan,libertarian,5336,1356075
1980,Connecticut,CT,1,US Senate,James L. Buckley,republican,581884,1356075
1980,Florida,FL,43,US Senate,NA,NA,159,3528028
1980,Florida,FL,43,US Senate,Bill Gunter,democrat,1705409,3528028
1980,Florida,FL,43,US Senate,Paula Hawkins,republican,1822460,3528028
1980,Georgia,GA,44,US Senate,Herman E. Talmadge,democrat,776143,1579829
1980,Georgia,GA,44,US Senate,Mack Mattingly,republican,803686,1579829
1980,Hawaii,HI,82,US Senate,Bud Shasteen,libertarian,10453,288006
1980,Hawaii,HI,82,US Senate,Daniel K. Inouye,democrat,224485,288006
1980,Hawaii,HI,82,US Senate,Cooper Brown,republican,53068,288006
1980,Idaho,ID,63,US Senate,Steve Symms,republican,218701,439647
1980,Idaho,ID,63,US Senate,Frank Church,democrat,214439,439647
1980,Idaho,ID,63,US Senate,Larry Fullmer,libertarian,6507,439647
1980,Illinois,IL,21,US Senate,David C. O'Neal,republican,1946296,4580029
1980,Illinois,IL,21,US Senate,Alan J. Dixon,democrat,2565302,4580029
1980,Illinois,IL,21,US Senate,Sidney Lens,citizens,19213,4580029
1980,Illinois,IL,21,US Senate,Bruce Green,libertarian,29328,4580029
1980,Illinois,IL,21,US Senate,Michael Soriano,workers world,5626,4580029
1980,Illinois,IL,21,US Senate,NA,NA,96,4580029
1980,Illinois,IL,21,US Senate,Charles F. Wilson,communist,11453,4580029
1980,Illinois,IL,21,US Senate,Burton Lee Artz,socialist workers,2715,4580029
1980,Indiana,IN,22,US Senate,Birch Bayh,democrat,1015962,2198376
1980,Indiana,IN,22,US Senate,Dan Quayle,republican,1182414,2198376
1980,Iowa,IA,31,US Senate,Charles E. Grassley,republican,683014,1276986
1980,Iowa,IA,31,US Senate,Garry De Young,by petition,5858,1276986
1980,Iowa,IA,31,US Senate,John Ingram Henderson,by petition,2336,1276986
1980,Iowa,IA,31,US Senate,Robert V. Hengerer,libertarian,4233,1276986
1980,Iowa,IA,31,US Senate,John Culver,democrat,581545,1276986
1980,Kansas,KS,32,US Senate,Bob Dole,republican,598686,938957
1980,Kansas,KS,32,US Senate,John Simpson,democrat,340271,938957
1980,Kentucky,KY,51,US Senate,Wendell H. Ford,democrat,720891,1106920
1980,Kentucky,KY,51,US Senate,Mary Louise Foust,republican,386029,1106920
1980,Louisiana,LA,45,US Senate,Naomi Bracey,no party,6374,841013
1980,Louisiana,LA,45,US Senate,Louis Woody Jenkins,democrat,325922,841013
1980,Louisiana,LA,45,US Senate,Russell B. Long,democrat,484770,841013
1980,Louisiana,LA,45,US Senate,Jerry C. Bardwell,republican,13739,841013
1980,Louisiana,LA,45,US Senate,Robert Max Ross,republican,10208,841013
1980,Maryland,MD,52,US Senate,Charles McC. Mathias Jr. ,republican,850970,1286088
1980,Maryland,MD,52,US Senate,Edward T. Conroy,democrat,435118,1286088
1980,Missouri,MO,34,US Senate,Gene McNary,republican,985399,2066965
1980,Missouri,MO,34,US Senate,Thomas F. Eagleton,democrat,1074859,2066965
1980,Missouri,MO,34,US Senate,Martha Pettis,socialist workers,6707,2066965
1980,Nevada,NV,65,US Senate,Allen Hacker,libertarian,6920,243273
1980,Nevada,NV,65,US Senate,Paul Laxalt,republican,144224,243273
1980,Nevada,NV,65,US Senate,Mary Gojack,democrat,92129,243273
1980,New Hampshire,NH,4,US Senate,Warren Rudman,republican,195559,375060
1980,New Hampshire,NH,4,US Senate,John A. Durkin,democrat,179455,375060
1980,New Hampshire,NH,4,US Senate,NA,NA,46,375060
1980,New York,NY,13,US Senate,Richard Savadel,free libertarian,21465,6014914
1980,New York,NY,13,US Senate,Thomas Soto,workers world,3643,6014914
1980,New York,NY,13,US Senate,Alfonse M. D'Amato,republican,2272082,6014914
1980,New York,NY,13,US Senate,Alfonse M. D'Amato,right to life,152470,6014914
1980,New York,NY,13,US Senate,Alfonse M. D'Amato,conservative,275100,6014914
1980,New York,NY,13,US Senate,NA,NA,73,6014914
1980,New York,NY,13,US Senate,William R. Scott,communist,4161,6014914
1980,New York,NY,13,US Senate,Victor A. Nieto,socialist workers,2715,6014914
1980,New York,NY,13,US Senate,Elizabeth Holtzman,democrat,2618661,6014914
1980,New York,NY,13,US Senate,Jacob K. Javits,liberal,664544,6014914
1980,North Carolina,NC,47,US Senate,F. W. (Rick) Pasotto,libertarian,7602,1797665
1980,North Carolina,NC,47,US Senate,Robert Morgan,democrat,887653,1797665
1980,North Carolina,NC,47,US Senate,John P. East,republican,898064,1797665
1980,North Carolina,NC,47,US Senate,Rebecca Finch,socialist workers,4346,1797665
1980,Ohio,OH,24,US Senate,James E. Betts,republican,1137695,4027303
1980,Ohio,OH,24,US Senate,John E. Powers,independent,76412,4027303
1980,Ohio,OH,24,US Senate,John Glenn,democrat,2770786,4027303
1980,Ohio,OH,24,US Senate,NA,NA,42410,4027303
1980,Oklahoma,OK,53,US Senate,Robert Murphy,libertarian,9757,1098294
1980,Oklahoma,OK,53,US Senate,Don Nickles,republican,587252,1098294
1980,Oklahoma,OK,53,US Senate,Charles Nesbitt,independent,21179,1098294
1980,Oklahoma,OK,53,US Senate,Paul E. Trent,independent,1823,1098294
