Symbol,Date,Open,High,Low,Close,Adj Close,Volume
reliance,01-01-2019,1125.25,1127.300049,1081.099976,1104.75,1094.612793,33025977
reliance,08-01-2019,1105.099976,1117,1086.400024,1096.800049,1086.73584,26047926
reliance,15-01-2019,1105,1239.949951,1105,1237.699951,1226.342773,71656291
reliance,22-01-2019,1232.849976,1264.699951,1219.599976,1229.550049,1218.2677,55657607
reliance,29-01-2019,1231,1296.949951,1191.099976,1290.900024,1279.054688,48260688
reliance,05-02-2019,1292,1321.199951,1251,1253.25,1241.750244,42015719
reliance,12-02-2019,1251.5,1273.949951,1214,1220.099976,1208.904419,39237865
reliance,19-02-2019,1218,1257.800049,1211.199951,1232.300049,1220.992554,39730939
reliance,26-02-2019,1209.5,1244.900024,1206,1226.050049,1214.799805,40453661
reliance,05-03-2019,1223.400024,1312,1218.599976,1304.099976,1292.133545,43027891
reliance,12-03-2019,1316.900024,1362,1311.199951,1350.050049,1337.661987,58865159
reliance,19-03-2019,1360,1388,1316.699951,1324.449951,1312.296875,39115245
reliance,26-03-2019,1330.300049,1406.800049,1330,1391.849976,1379.078369,47853952
reliance,02-04-2019,1398,1403.099976,1323.699951,1329.25,1317.052856,39689587
reliance,09-04-2019,1328.900024,1356.900024,1321,1340.150024,1327.852905,33016534
reliance,16-04-2019,1345,1389.75,1340,1345.349976,1333.005005,36689783
reliance,23-04-2019,1348,1412.400024,1346,1392.800049,1380.019653,37235451
reliance,30-04-2019,1396.400024,1417.5,1366.800049,1384.900024,1372.192139,32647603
reliance,07-05-2019,1394.800049,1395,1227.5,1232.050049,1220.744751,62269638
reliance,14-05-2019,1236.5,1337.699951,1231.5,1325.900024,1313.733521,51003834
reliance,21-05-2019,1332.199951,1392,1307,1310.650024,1298.623535,60412448
reliance,28-05-2019,1319.800049,1367.25,1304.150024,1360.199951,1347.71875,57570118
reliance,04-06-2019,1357.449951,1374.25,1305.599976,1319.150024,1307.045532,26834973
reliance,11-06-2019,1321.849976,1338.400024,1278.5,1282.300049,1270.533691,30779580
reliance,18-06-2019,1278.900024,1302,1257.099976,1262.400024,1250.816162,34992905
reliance,25-06-2019,1258.900024,1304.599976,1246.449951,1268.849976,1257.207031,38350078
reliance,02-07-2019,1273.949951,1291,1248.199951,1252.050049,1240.561279,24339819
reliance,09-07-2019,1248.949951,1300,1245.5,1276.099976,1264.390503,29493750
reliance,16-07-2019,1279.949951,1297,1227.300049,1280.5,1268.750122,35167541
reliance,23-07-2019,1285,1293.900024,1205.099976,1210.949951,1199.838257,43578994
reliance,30-07-2019,1213.949951,1220,1128,1143.349976,1132.858643,54346671
reliance,06-08-2019,1134.75,1175.5,1095.300049,1162.099976,1157.752808,49184673
reliance,13-08-2019,1233.150024,1304.449951,1226,1292.599976,1287.764648,79917936
reliance,20-08-2019,1289.800049,1294,1226.5,1266.800049,1262.061279,36659951
reliance,27-08-2019,1285,1285,1221,1248.550049,1243.879517,38234129
reliance,03-09-2019,1242.25,1243,1186.050049,1222.199951,1217.62793,50110119
reliance,10-09-2019,1222.199951,1240.449951,1186.099976,1210.75,1206.220825,26288598
